Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01321","Pomelos and grapefruits","2018","2018","","107.13","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01321","Pomelos and grapefruits","2019","2019","","113.93","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01321","Pomelos and grapefruits","2020","2020","","114.41","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01321","Pomelos and grapefruits","2021","2021","","105.64","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01321","Pomelos and grapefruits","2022","2022","","114.01","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01321","Pomelos and grapefruits","2023","2023","","113.78","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01321","Pomelos and grapefruits","2016","2016","","101.1","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01321","Pomelos and grapefruits","2017","2017","","101.03","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01321","Pomelos and grapefruits","2018","2018","","104.09","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01321","Pomelos and grapefruits","2019","2019","","109.65","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01321","Pomelos and grapefruits","2020","2020","","109.21","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01321","Pomelos and grapefruits","2021","2021","","100.17","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01321","Pomelos and grapefruits","2022","2022","","107.29","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01321","Pomelos and grapefruits","2023","2023","","106.15","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01510","Potatoes","2016","2016","","103.6","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01510","Potatoes","2017","2017","","98.91","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01510","Potatoes","2018","2018","","103.94","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01510","Potatoes","2019","2019","","102.86","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01510","Potatoes","2020","2020","","112.08","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01510","Potatoes","2021","2021","","112.31","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01510","Potatoes","2022","2022","","108.34","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01510","Potatoes","2023","2023","","114.52","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01510","Potatoes","2016","2016","","102.59","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01510","Potatoes","2017","2017","","97.03","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01510","Potatoes","2018","2018","","101","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01510","Potatoes","2019","2019","","99.01","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01510","Potatoes","2020","2020","","107.01","E","Estimated value"
